"signature","type","channel","fraction"
"CN8","1","1:LOH:10Mb-40Mb",0.003664150073283
"CN8","1","1:LOH:>40Mb",0.0060893151217863
"CN8","2","2:LOH:0-100kb",0.0111158400903687
"CN8","2","2:LOH:100kb-1Mb",0.0222829002831981
"CN8","2","2:LOH:1Mb-10Mb",0.0082983201651402
"CN8","2","2:LOH:10Mb-40Mb",0.0011593800231876
"CN8","2","2:LOH:>40Mb",0.0001319700026289
"CN8","3-4","3-4:LOH:0-100kb",0.0095647200821776
"CN8","3-4","3-4:LOH:100kb-1Mb",0.004662895052984
"CN8","3-4","3-4:LOH:1Mb-10Mb",0.0034921500698428
"CN8","3-4","3-4:LOH:10Mb-40Mb",0.0021940950434204
"CN8","3-4","3-4:LOH:>40Mb",0.0033991150570444
"CN8","5-8","5-8:LOH:0-100kb",0.0107704750869881
"CN8","5-8","5-8:LOH:100kb-1Mb",0.0096752851115774
"CN8","5-8","5-8:LOH:1Mb-10Mb",0.0021558400425252
"CN8","5-8","5-8:LOH:10Mb-40Mb",0.0010228350189757
"CN8","5-8","5-8:LOH:>40Mb",0.0014596200167842
"CN8","9+","9+:LOH:0-100kb",0.0220433151249994
"CN8","9+","9+:LOH:100kb-1Mb",0.0283815152285296
"CN8","9+","9+:LOH:1Mb-10Mb",0.0080947301183245
"CN8","9+","9+:LOH:10Mb-40Mb",2.52650005041e-05
"CN8","9+","9+:LOH:>40Mb",0.0001117900022354
"CN8","2","2:het:0-100kb",0.0010385000041606
"CN8","2","2:het:100kb-1Mb",0.0008892000005614
"CN8","2","2:het:1Mb-10Mb",0.0023290350226828
"CN8","2","2:het:10Mb-40Mb",0.0026749400501629
"CN8","2","2:het:>40Mb",0.0021614050432225
"CN8","3-4","3-4:het:0-100kb",0.0135515451422438
"CN8","3-4","3-4:het:100kb-1Mb",0.0413911803006613
"CN8","3-4","3-4:het:1Mb-10Mb",0.0261931351598558
"CN8","3-4","3-4:het:10Mb-40Mb",0.0049560700931407
"CN8","3-4","3-4:het:>40Mb",0.0241685202858633
"CN8","5-8","5-8:het:0-100kb",0.0326179753058171
"CN8","5-8","5-8:het:100kb-1Mb",0.127337371404407
"CN8","5-8","5-8:het:1Mb-10Mb",0.0612414808255212
"CN8","5-8","5-8:het:10Mb-40Mb",0.00836119516503
"CN8","5-8","5-8:het:>40Mb",0.0045285650874426
"CN8","9+","9+:het:0-100kb",0.0949474555689958
"CN8","9+","9+:het:100kb-1Mb",0.266746762108847
"CN8","9+","9+:het:1Mb-10Mb",0.110528846327574
"CN8","9+","9+:het:10Mb-40Mb",0.0018099250361383
"CN8","9+","9+:het:>40Mb",0.0010858550217163
"CN9","0","0:homdel:0-100kb",0.00818184176814676
"CN9","0","0:homdel:100kb-1Mb",0.0209991890730918
"CN9","0","0:homdel:>1Mb",0.00900921906579627
"CN9","1","1:LOH:0-100kb",0.0185836518480638
"CN9","1","1:LOH:100kb-1Mb",0.130807871527327
"CN9","1","1:LOH:1Mb-10Mb",0.159949199370283
"CN9","1","1:LOH:10Mb-40Mb",0.0762293551193326
"CN9","1","1:LOH:>40Mb",0.0270006927812622
"CN9","2","2:LOH:0-100kb",0.00411905725231267
"CN9","2","2:LOH:100kb-1Mb",0.0137742326732473
"CN9","2","2:LOH:1Mb-10Mb",0.011594392671514
"CN9","2","2:LOH:10Mb-40Mb",0.00494515180366946
